State,City,Link
District of Columbia,washington,"http://washingtondc.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,broward county,"http://miami.craigslist.org/search/brw/cas?query=m4w&sort=date&postedToday=1
"
Florida,daytona beach,"http://miami.craigslist.org/search/brw/cas?query=m4w&sort=date&postedToday=1
"
Florida,florida keys,"http://keys.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,fort lauderdale,"http://miami.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,ft myers  SW florida,"http://fortmyers.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,gainesville,"http://gainesville.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,heartland florida,"http://cfl.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,jacksonville,"http://jacksonville.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,lakeland,"http://lakeland.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,miami  dade,"http://miami.craigslist.org/search/mdc/cas?query=m4w&sort=date&postedToday=1
"
Florida,north central FL,"http://lakecity.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,ocala,"http://ocala.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,okaloosa  walton,"http://okaloosa.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,orlando,"http://orlando.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,palm beach county,"http://miami.craigslist.org/search/pbc/cas?query=m4w&sort=date&postedToday=1
"
Florida,panama city,"http://panamacity.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,pensacola,"http://pensacola.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,sarasota-bradenton,"http://sarasota.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,south florida,"http://sarasota.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,space coast,"http://spacecoast.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,st augustine,"http://staugustine.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,tallahassee,"http://tallahassee.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,tampa bay area,"http://tampa.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,treasure coast,"http://treasure.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,albany,"http://albanyga.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,athens,"http://athensga.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,atlanta,"http://atlanta.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,augusta,"http://augusta.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,brunswick,"http://brunswick.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,columbus,"http://columbusga.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,macon  warner robins,"http://macon.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
